,Level,,production
EU28,Sector,Agriculture,557587.8584813393
EU28,Sector,Fuels mining,135518.83322893825
EU28,Sector,Other mining,79026.82399998291
EU28,Sector,Food production,1234383.075164677
EU28,Sector,Textiles,344090.80250246683
EU28,Sector,Paper,715993.630329492
EU28,Sector,Fuels refining,616332.6804231607
EU28,Sector,Chemicals and petrochemicals,1008330.8702139142
EU28,Sector,"Metals, non-ferrous metals and non-metallic minerals",1321355.017170532
EU28,Sector,Cement,125661.0392132691
EU28,Sector,Other manufacturing,3854632.092827484
EU28,Sector,Electricity,642929.1262157995
EU28,Sector,Services,16766396.757309172
EU28,Sector,Construction,2328222.752566566
EU28,Sector,Transport,1447567.8374211472
EU28,Sector,Waste treatment,226640.27909006737
USA,Sector,Agriculture,473296.40086824924
USA,Sector,Fuels mining,378235.09260361106
USA,Sector,Other mining,76085.60574665845
USA,Sector,Food production,966371.53166742
USA,Sector,Textiles,185966.44625707713
USA,Sector,Paper,608662.5925225388
USA,Sector,Fuels refining,567083.6860320291
USA,Sector,Chemicals and petrochemicals,1096229.8991166954
USA,Sector,"Metals, non-ferrous metals and non-metallic minerals",762861.1453923685
USA,Sector,Cement,73581.07792406465
USA,Sector,Other manufacturing,3566950.577964639
USA,Sector,Electricity,334862.4370749713
USA,Sector,Services,22495768.935439933
USA,Sector,Construction,1568776.1856679828
USA,Sector,Transport,994313.7373289877
USA,Sector,Waste treatment,141519.17181727907
AS-P,Sector,Agriculture,887720.8234821795
AS-P,Sector,Fuels mining,227191.76166220286
AS-P,Sector,Other mining,109032.28217171936
AS-P,Sector,Food production,804494.3705138043
AS-P,Sector,Textiles,281969.4062477888
AS-P,Sector,Paper,380697.90759557433
AS-P,Sector,Fuels refining,537194.3715704645
AS-P,Sector,Chemicals and petrochemicals,1225967.542292731
AS-P,Sector,"Metals, non-ferrous metals and non-metallic minerals",1239868.655664424
AS-P,Sector,Cement,29683.036179736257
AS-P,Sector,Other manufacturing,3566776.014036405
AS-P,Sector,Electricity,367024.4660704109
AS-P,Sector,Services,9944367.494504593
AS-P,Sector,Construction,1642196.9477555144
AS-P,Sector,Transport,1068661.2460093065
AS-P,Sector,Waste treatment,153461.87558455917
CHN,Sector,Agriculture,1447109.0462370086
CHN,Sector,Fuels mining,351036.15896351467
CHN,Sector,Other mining,201395.83591561596
CHN,Sector,Food production,1581463.1550738153
CHN,Sector,Textiles,1677862.4098008985
CHN,Sector,Paper,582946.2404821749
CHN,Sector,Fuels refining,845851.0357308489
CHN,Sector,Chemicals and petrochemicals,2362791.4363008724
CHN,Sector,"Metals, non-ferrous metals and non-metallic minerals",3765930.4601416406
CHN,Sector,Cement,124083.0265370724
CHN,Sector,Other manufacturing,6566631.114086803
CHN,Sector,Electricity,481503.42524527205
CHN,Sector,Services,10879571.800480533
CHN,Sector,Construction,3197108.3010440874
CHN,Sector,Transport,608955.364237696
CHN,Sector,Waste treatment,146100.78185927094
